empresa,site,localidade,servico_relevante,motivo,fonte,tipo,estimado_valor,prioridade
Totvs,https://www.totvs.com,,Cloud Cost,ERP enterprise brasileiro — oportunidade cloud/IA,curated_list,br_enterprise,,alta
Stone Pagamentos,https://stone.com.br,,Cybersecurity,Fintech em escala — segurança e compliance,curated_list,br_enterprise,,alta
Nubank,https://nubank.com.br,,AI Automation,Fintech líder — automação e IA em escala,curated_list,br_enterprise,,alta
Magazine Luiza,https://www.magazineluiza.com.br,,AI Automation,Retail enterprise — automação de operações,curated_list,br_enterprise,,media
Mercado Livre,https://mercadolivre.com.br,,Cloud Cost,E-commerce em escala — otimização cloud e IA,curated_list,br_enterprise,,media
"""Kleber Garcia Alcatrão @ Zion Tech Group""",https://ziontechgroup.com,,AI Automation,"Olá, analisei seu e-mail sobre: Parceria Zion Tech Group Ã¢Â€Â” operaÃƒÂ§ÃƒÂµes e eficiÃƒÂªncia para TI",gmail-scan-reseed,email_inbound_lead,,alta
DNFSB - IT Support Services,https://sam.gov/opp/d2c1a57d8e984bd2bfecff2654ac97d5/view,"Washington DC, USA (Federal)","Cybersecurity, AI-enabled IT Ops, Cloud Support, Helpdesk","Sources Sought for IT O&M with embedded cybersecurity + AI-enabled tools for Microsoft/cloud environment. Industry Day Mar 18, award before Sep 2026. Small business eligible.",SAM.gov (Mar 2026),government_rfp,Not disclosed (IT O&M contract),alta
NIST - CAPSS Cybersecurity & Privacy,https://sam.gov/opp/b6f51248db754570a2860d60347f0151/view,"Gaithersburg, MD, USA (Federal)","Cybersecurity, Privacy, Software Dev, Business Process Automation","Total Small Business Set-Aside (FAR 19.5). NAICS 541519, $30M size standard. Design/test/deploy software, web apps, automation. Direct small business opportunity.",SAM.gov (2026),government_rfp,Not disclosed (Set-Aside),alta
DoD - Agentic Workload Automation Harness,https://sam.gov/opp/7ac85dcacf0745e8a1488506c3e4e4f6/view,"San Antonio, TX, USA (DoD)","AI Chat/Assistants, RAG, Workflow Automation, Document Analysis, GenAI","Sources Sought for secure enterprise AI: LLM access, generative AI chat, document summarization, RAG, API integration. DoD cybersecurity requirements. San Antonio place of performance.",SAM.gov (Aug 2026),government_rfp,Not disclosed (Sources Sought),alta
C5ISRT - Next Gen Cybersecurity & Info Assurance,https://sam.gov/opp/d0a6b00135934235b42329fd2d7c30d3/view,"Coronado, CA / NSWC PCD, USA (Navy)","Cybersecurity, Threat Intelligence, Security Engineering, Compliance, Training","Sources Sought for full-lifecycle cybersecurity program. 12-month base + 4x12-month options. Small business encouraged. NAICS 541330, $25.5M. Potential 8(a) set-aside.",SAM.gov (Aug 2026),government_rfp,Not disclosed (12mo + 4 options),alta
